"Lao động và cơ cấu lao động từ 15 tuổi trở lên đang làm việc hàng năm phân theo ngành kinh tế chia theo Ngành, Phân tổ và Năm"

" ";"Tổng số (Nghìn người)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Cơ cấu (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Dịch vụ lưu trú và ăn uống";824.5;1096.4;1307.4;1573.7;1711.0;1995.3;2137.4;2216.6;2301.1;2441.3;2482.3;2486.3;1.9;2.4;2.8;3.3;3.5;4.0;4.2;4.2;4.4;4.6;4.7;4.6
"Thông tin và truyền thông";151.4;180.5;204.8;228.0;257.4;269.0;283.6;297.7;317.9;338.0;342.7;338.3;0.4;0.4;0.4;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6
"Hoạt động tài chính, ngân hàng và bảo hiểm";185.9;191.6;204.3;230.3;254.5;301.1;312.5;335.1;352.1;364.7;376.3;384.3;0.4;0.4;0.4;0.5;0.5;0.6;0.6;0.6;0.7;0.7;0.7;0.7
"Hoạt động kinh doanh bất động sản";19.0;53.9;51.5;65.2;101.3;119.0;148.1;150.0;158.1;165.7;179.5;226.1;0.0;0.1;0.1;0.1;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.4
"Hoạt động chuyên môn, khoa học và công nghệ";157.5;158.3;183.1;218.5;217.5;220.2;248.8;249.2;250.6;251.8;252.3;251.2;0.4;0.4;0.4;0.5;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5
"Hoạt động hành chính và dịch vụ hỗ trợ";119.5;147.7;158.1;171.8;185.5;197.9;229.3;245.6;262.1;279.6;283.7;310.2;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.6
"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc";1679.9;1665.9;1650.6;1596.9;1569.6;1542.2;1582.7;1631.0;1697.2;1706.8;1701.5;1728.5;3.9;3.7;3.6;3.3;3.2;3.1;3.1;3.1;3.2;3.2;3.2;3.2
"Giáo dục và đào tạo";1258.0;1513.5;1492.7;1583.9;1673.4;1731.8;1767.1;1813.3;1860.4;1896.2;1901.7;2029.2;2.9;3.3;3.2;3.3;3.4;3.4;3.4;3.5;3.5;3.6;3.6;3.8
"Y tế và hoạt động trợ giúp xã hội";349.9;384.6;365.6;364.7;437.0;480.8;482.4;490.8;492.8;539.7;568.6;537.2;0.8;0.9;0.8;0.8;0.9;1.0;0.9;0.9;0.9;1.0;1.1;1.0
"Nghệ thuật, vui chơi và giải trí";82.2;129.7;180.4;210.8;232.4;250.1;256.0;271.6;285.7;295.2;305.1;286.0;0.2;0.3;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.5
"Hoạt động dịch vụ khác";781.8;737.9;673.8;569.0;687.3;734.9;731.9;749.5;764.4;799.8;848.2;858.5;1.8;1.6;1.5;1.2;1.4;1.5;1.4;1.4;1.4;1.5;1.6;1.6
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình";189.9;175.6;163.4;183.3;196.7;183.1;173.9;174.9;175.0;179.2;194.1;196.4;0.4;0.4;0.4;0.4;0.4;0.4;0.3;0.3;0.3;0.3;0.4;0.4
"Hoạt động của các tổ chức và cơ quan quốc tế";4.7;4.5;2.5;3.2;2.5;2.8;2.8;2.9;2.4;2.8;2.5;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0

