"Độ ẩm không khí trung bình các tháng trong năm tại một số trạm quan trắc by Năm, Tỉnh, thành phố and Tháng"

" ";" ";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
" ";"Pleiku";75;76;72;71;83;91;91;90;94;88;81;75
" ";"Đà Lạt";85;76;82;79;85;88;89;87;90;87;81;83
" ";"Nha Trang";83;79;78;77;74;73;75;76;77;83;79;77
" ";"Vũng Tàu";77;75;75;77;80;81;83;81;82;82;78;78
" ";"Cà Mau";75;75;75;76;81;83;82;82;85;80;82;78
"2010"
" ";"Lai Châu";77;71;64;75;78;84;86;83;85;82;82;83
" ";"Sơn La";76;68;65;76;78;81;83;86;84;81;78;83
" ";"Tuyên Quang";77;82;82;80;80;79;84;81;81;81;73;75
" ";"Hà Nội";81;80;78;85;81;74;74;82;79;70;71;77
" ";"Bãi Cháy";86;86;82;89;86;83;81;87;86;73;71;78
" ";"Nam Định";89;85;83;90;85;78;80;87;85;77;76;81
" ";"Vinh";89;86;83;88;78;67;72;84;82;85;83;83
" ";"Huế";93;90;89;87;79;78;79;88;86;92;93;92
" ";"Đà Nẵng";84;85;83;83;77;77;77;82;83;85;88;84
" ";"Qui Nhơn";83;84;82;81;79;79;76;75;78;82;89;81
" ";"Pleiku";76;76;72;81;85;89;91;90;92;87;78;79
" ";"Đà Lạt";81;80;80;84;88;87;90;91;92;89;84;84
" ";"Nha Trang";78;78;78;78;75;77;80;79;81;82;85;79
" ";"Vũng Tàu";74;74;71;79;84;88;91;90;92;86;77;77
" ";"Cà Mau";78;78;78;82;87;85;89;90;91;87;83;81
"2009"
" ";"Lai Châu";74;74;71;76;81;86;86;83;84;84;81;79
" ";"Sơn La";77;71;70;76;78;82;85;83;82;80;74;79
" ";"Tuyên Quang";77;82;82;81;81;80;85;82;82;82;74;75
" ";"Hà Nội";72;84;82;82;81;74;79;78;76;75;66;73
" ";"Bãi Cháy";73;87;86;86;83;81;83;82;81;80;71;78
" ";"Nam Định";78;88;89;89;86;79;83;83;85;82;73;81
" ";"Vinh";83;85;87;85;83;64;72;81;83;84;81;87
" ";"Huế";91;90;89;89;87;79;80;81;88;89;91;92
" ";"Đà Nẵng";82;86;83;81;82;72;76;77;84;82;83;84
" ";"Qui Nhơn";79;82;82;82;83;66;67;71;78;81;83;79
" ";"Pleiku";76;76;72;81;85;89;91;90;92;87;78;79
" ";"Đà Lạt";81;80;80;84;88;87;90;91;92;89;84;84
" ";"Nha Trang";78;78;79;83;85;78;76;79;81;82;81;81
" ";"Vũng Tàu";74;78;75;78;84;81;83;81;83;84;79;77
" ";"Cà Mau";80;82;78;81;84;81;86;84;87;85;81;79
"2008"
" ";"Lai Châu";80;80;80;81;82;88;90;89;85;85;84;82
" ";"Sơn La";80;83;75;78;79;88;89;86;83;86;83;83
" ";"Tuyên Quang";81;78;82;84;80;82;82;84;84;85;83;81
" ";"Hà Nội";80;72;82;84;79;81;79;83;80;80;76;75
" ";"Bãi Cháy";81;74;85;84;80;87;84;87;83;78;72;74
" ";"Nam Định";85;79;87;87;82;85;81;85;88;86;79;79
" ";"Vinh";89;87;87;86;79;72;70;76;84;89;82;82
" ";"Huế";92;94;90;87;85;79;76;80;86;94;93;95
" ";"Đà Nẵng";85;80;85;82;81;77;75;78;81;88;85;87
" ";"Qui Nhơn";81;78;80;79;77;76;71;73;78;85;85;81
" ";"Pleiku";77;76;75;76;88;87;89;90;91;89;83;81
" ";"Đà Lạt";85;81;82;83;90;88;89;91;91;88;89;85
" ";"Nha Trang";81;79;81;81;80;78;76;78;81;81;85;82
" ";"Vũng Tàu";76;72;76;75;80;79;79;80;80;80;80;76
" ";"Cà Mau";80;76;77;79;85;86;86;86;87;89;85;82
"2007"
" ";"Lai Châu";76;75;69;74;76;82;87;82;87;85;89;85
" ";"Sơn La";75;67;72;76;78;84;87;87;84;82;80;83
" ";"Tuyên Quang";77;80;87;83;80;78;82;85;84;83;79;83
" ";"Hà Nội";69;81;88;79;75;77;78;81;81;77;67;77
" ";"Bãi Cháy";71;85;90;81;80;82;82;83;80;75;67;81
" ";"Nam Định";76;87;92;84;83;78;78;85;84;83;73;85
" ";"Vinh";87;89;92;85;79;71;70;78;81;87;80;89
" ";"Huế";93;87;90;87;85;77;76;82;88;94;92;92
" ";"Đà Nẵng";87;83;85;80;80;74;76;78;81;87;85;85
" ";"Qui Nhơn";80;79;83;81;78;77;72;71;77;83;82;80
" ";"Pleiku";77;70;75;74;84;87;91;93;90;89;85;80
" ";"Đà Lạt";83;76;83;85;88;90;90;92;89;90;86;80
" ";"Nha Trang";78;76;80;80;81;78;78;80;81;84;83;79
" ";"Vũng Tàu";73;76;76;74;81;78;80;81;81;81;77;77
" ";"Cà Mau";80;79;79;77;84;85;87;86;86;87;82;79
"2006"
" ";"Lai Châu";71;68;67;65;79;83;83;83;83;87;85;79
" ";"Sơn La";78;79;78;75;79;84;87;87;82;82;76;77
" ";"Tuyên Quang";78;87;86;80;80;82;84;89;82;85;83;82
" ";"Hà Nội";74;86;84;80;78;75;78;83;72;76;76;75
" ";"Bãi Cháy";81;87;89;86;81;85;84;87;75;82;79;67
" ";"Nam Định";80;89;89;85;82;81;80;87;78;83;81;78
" ";"Vinh";88;93;90;83;74;71;72;86;81;89;85;85
" ";"Huế";92;91;90;85;80;73;71;84;86;88;88;90
" ";"Đà Nẵng";86;85;84;81;77;73;71;82;82;84;82;82
" ";"Qui Nhơn";84;82;83;80;76;75;64;67;77;79;79;79
" ";"Pleiku";80;75;77;78;82;86;95;95;89;84;80;77
" ";"Đà Lạt";86;82;81;86;87;91;93;94;90;88;83;83
" ";"Nha Trang";77;77;80;80;76;75;76;75;79;81;80;80
" ";"Vũng Tàu";77;73;77;74;76;79;81;81;81;80;76;74
" ";"Cà Mau";81;76;79;79;82;86;88;88;87;85;82;79
"2005"
" ";"Lai Châu";81;73;71;75;72;82;72;84;78;77;83;80
" ";"Sơn La";76;71;75;76;71;85;85;91;83;83;84;82
" ";"Tuyên Quang";86;86;86;85;81;83;83;89;85;84;86;81
" ";"Hà Nội";79;85;83;83;78;77;79;83;78;76;79;69
" ";"Bãi Cháy";80;89;87;87;86;87;86;87;83;77;82;72
" ";"Nam Định";83;91;87;88;82;77;81;86;85;80;83;76
" ";"Vinh";86;93;89;85;72;66;76;79;87;86;86;83
" ";"Huế";90;91;92;87;78;77;83;80;88;91;91;95
" ";"Đà Nẵng";84;85;84;83;77;71;80;78;82;86;85;88
" ";"Qui Nhơn";79;83;82;81;80;68;69;67;78;85;84;87
" ";"Pleiku";77;73;74;75;81;88;92;93;91;86;84;80
" ";"Đà Lạt";80;76;81;81;87;90;92;92;92;91;87;91
" ";"Nha Trang";77;80;80;80;76;73;76;74;78;83;80;84
" ";"Vũng Tàu";76;79;77;77;78;79;81;81;82;81;80;80
" ";"Cà Mau";78;79;76;75;80;82;87;84;83;85;82;84
"2004"
" ";"Lai Châu";83;76;80;86;82;82;87;88;83;82;85;83
" ";"Sơn La";77;75;72;80;83;83;85;86;85;77;82;78
" ";"Tuyên Quang";80;83;81;84;82;81;84;85;82;78;81;81
" ";"Hà Nội";79;83;81;85;82;75;79;83;81;67;75;73
" ";"Bãi Cháy";81;87;85;88;84;83;87;88;83;73;78;75
" ";"Nam Định";83;87;85;86;72;80;83;86;86;78;82;80
" ";"Vinh";90;90;90;89;83;74;73;81;84;83;86;83
" ";"Huế";93;92;91;89;83;80;81;82;88;90;92;90
" ";"Đà Nẵng";86;83;85;84;80;76;80;76;83;83;86;85
" ";"Qui Nhơn";81;80;81;80;77;68;73;64;77;77;81;77
" ";"Pleiku";81;76;76;78;83;91;91;94;90;84;80;79
" ";"Đà Lạt";83;78;85;88;89;90;89;92;86;84;87;82
" ";"Nha Trang";78;75;79;80;79;76;77;74;75;76;79;76
" ";"Vũng Tàu";75;77;79;77;78;80;81;83;82;80;76;77
" ";"Cà Mau";78;79;79;76;81;84;86;87;87;83;79;81
"2003"
" ";"Lai Châu";78;73;63;72;79;79;79;81;74;78;78;73
" ";"Sơn La";82;76;74;73;79;82;82;85;84;77;77;72
" ";"Tuyên Quang";81;81;79;79;81;82;76;89;87;80;76;77
" ";"Hà Nội";76;82;77;81;78;75;80;82;81;72;71;70
" ";"Bãi Cháy";81;88;84;85;85;83;82;89;85;78;77;75
" ";"Nam Định";84;89;82;85;85;78;81;87;86;78;77;75
" ";"Vinh";91;92;90;86;80;70;75;80;84;86;85;85
" ";"Huế";90;92;91;84;81;78;77;77;87;90;91;92
" ";"Đà Nẵng";84;88;84;84;81;76;79;79;87;85;83;87
" ";"Qui Nhơn";78;80;81;80;75;72;73;68;74;82;79;81
" ";"Pleiku";79;78;76;75;86;90;90;93;93;88;85;81
" ";"Đà Lạt";80;79;84;82;92;90;91;92;94;91;88;87
" ";"Nha Trang";76;79;78;80;81;75;77;76;78;83;79;77
" ";"Vũng Tàu";76;78;77;75;81;79;82;83;83;83;79;76
" ";"Cà Mau";76;77;80;75;83;82;87;84;86;93;83;78
"2002"
" ";"Lai Châu";80;77;77;74;72;82;86;86;80;82;79;80
" ";"Sơn La";80;79;73;71;85;87;89;86;82;83;84;84
" ";"Tuyên Quang";81;84;83;80;83;84;84;84;81;83;85;83
" ";"Hà Nội";78;85;82;82;81;80;79;81;76;78;72;81
" ";"Bãi Cháy";82;90;86;84;85;86;86;85;77;79;82;84
" ";"Nam Định";84;90;87;87;85;83;82;86;84;85;83;88
" ";"Vinh";89;91;88;86;84;75;75;84;87;87;90;92
" ";"Huế";92;91;90;85;84;81;75;81;91;91;94;95
" ";"Đà Nẵng";84;84;85;84;78;78;73;82;86;86;85;87
" ";"Qui Nhơn";78;79;79;79;76;72;62;73;80;81;87;85
" ";"Pleiku";80;75;75;74;81;92;94;94;94;88;86;85
" ";"Đà Lạt";82;73;78;81;84;90;89;92;91;90;88;87
" ";"Nha Trang";76;77;78;77;76;75;72;77;82;81;87;83
" ";"Vũng Tàu";77;76;78;77;76;82;81;82;82;84;82;79
" ";"Cà Mau";74;75;74;73;76;84;83;86;86;83;84;81

