"Nhiệt độ không khí trung bình các tháng trong năm tại một số trạm quan trắc by Năm, Tỉnh, thành phố and Tháng"

" ";" ";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
" ";"Bãi Cháy";16.8;18.6;21.6;24.0;28.9;29.7;28.7;28.8;27.8;25.8;24.2;18.1
" ";"Nam Định";17.5;18.8;21.5;24.5;30.0;30.8;29.5;29.6;28.1;26.3;24.4;18.4
" ";"Vinh";17.8;19.8;22.1;24.7;31.7;31.6;29.7;29.6;28.8;26.0;24.9;19.7
" ";"Huế";19.5;21.8;25.1;25.8;29.5;29.5;28.2;28.9;28.3;25.1;25.4;21.8
" ";"Đà Nẵng";21.1;22.9;25.4;26.2;29.8;29.8;29.6;29.2;28.8;26.6;26.7;23.9
" ";"Qui Nhơn";22.6;23.9;26.2;27.1;29.6;30.2;30.3;30.0;29.4;28.1;27.2;25.6
" ";"Pleiku";18.7;20.4;23.6;24.8;25.2;24.1;23.1;23.6;23.6;23.2;22.9;21.7
" ";"Đà Lạt";15.5;16.5;18.0;18.9;20.1;19.4;19.4;19.7;19.2;18.7;18.4;17.7
" ";"Nha Trang";23.2;24.2;26.2;27.5;29.6;29.5;29.2;29.2;28.9;28.0;26.8;26.3
" ";"Vũng Tàu";25.2;25.3;27.7;29.0;30.2;29.1;28.8;28.9;28.5;28.4;28.8;27.8
" ";"Cà Mau";25.6;26.0;27.9;29.4;29.7;28.2;28.6;28.3;27.6;28.3;28.0;27.8
"2014"
" ";"Lai Châu";13.6;16.1;20.3;23.4;24.0;23.8;23.5;22.7;22.5;20.2;17.5;13.9
" ";"Sơn La";14.4;16.8;21.4;25.3;25.8;25.8;25.5;24.8;25.1;22.0;19.8;14.5
" ";"Tuyên Quang";16.2;17.1;20.3;25.4;28.9;29.4;29.2;28.5;28.2;25.5;22.2;16.7
" ";"Hà Nội";17.7;17.2;19.9;25.3;29.3;30.1;29.5;28.9;29.2;27.0;22.9;17.6
" ";"Bãi Cháy";16.6;16.2;19.4;24.6;28.1;29.3;28.8;28.0;28.2;26.2;22.6;16.4
" ";"Nam Định";17.2;16.9;19.5;25.0;28.6;29.9;29.5;28.6;28.7;26.3;22.7;16.9
" ";"Vinh";17.3;18.0;20.3;25.6;30.1;31.0;30.4;29.7;28.4;25.6;23.7;17.9
" ";"Huế";18.7;20.4;23.0;27.2;29.3;30.3;29.0;28.6;27.8;25.2;24.6;19.7
" ";"Đà Nẵng";20.3;21.9;24.4;27.0;29.3;30.8;29.3;29.3;28.7;26.4;25.9;21.7
" ";"Qui Nhơn";22.2;23.2;25.7;28.0;29.0;30.8;30.6;30.1;29.3;27.1;26.9;23.7
" ";"Pleiku";17.8;20.8;23.5;24.1;25.0;23.5;22.6;23.3;23.0;22.8;22.2;20.6
" ";"Đà Lạt";14.8;16.5;18.4;18.7;19.9;19.6;18.9;18.9;18.8;18.4;18.1;17.1
" ";"Nha Trang";23.1;23.8;26.1;28.2;29.2;29.4;29.2;28.4;28.6;27.4;26.6;25.0
" ";"Vũng Tàu";25.0;25.5;27.4;29.6;30.3;28.3;28.0;28.4;28.2;28.1;28.3;27.1
" ";"Cà Mau";25.3;25.9;27.9;29.5;29.4;28.2;27.7;28.0;27.6;27.5;27.6;27.2
"2013"
" ";"Lai Châu";13.5;18.2;20.4;20.9;22.9;23.5;23.0;23.4;22.7;19.7;18.3;12.4
" ";"Sơn La";14.7;19.6;22.3;23.1;25.1;25.1;24.6;25.0;23.7;21.1;19.6;13.0
" ";"Tuyên Quang";15.0;19.7;24.1;24.9;28.2;29.0;28.2;28.3;26.5;24.1;22.1;15.1
" ";"Hà Nội";15.3;19.9;24.0;25.0;28.9;30.0;28.8;29.1;27.0;25.6;22.8;16.3
" ";"Bãi Cháy";15.5;19.1;22.6;23.8;27.6;28.3;27.8;28.2;26.6;25.1;22.1;15.3
" ";"Nam Định";15.1;19.5;23.1;24.4;28.5;29.3;28.5;28.8;26.4;25.0;22.1;15.4
" ";"Vinh";16.8;20.6;23.6;25.0;29.6;29.8;29.1;29.2;26.9;24.8;22.1;16.5
" ";"Huế";19.8;22.9;24.6;26.2;28.7;28.4;27.9;28.3;26.6;24.6;23.6;18.3
" ";"Đà Nẵng";21.9;24.4;25.3;27.0;29.2;29.6;28.6;29.3;27.1;26.0;25.2;20.8
" ";"Qui Nhơn";23.8;25.5;26.8;28.3;28.9;29.8;29.3;29.4;28.3;26.7;26.3;23.1
" ";"Pleiku";19.8;21.9;23.9;24.7;24.8;23.7;23.0;22.5;22.5;22.0;21.9;18.6
" ";"Đà Lạt";16.1;17.7;18.8;19.8;20.1;19.6;19.2;18.9;18.3;18.1;17.8;16.2
" ";"Nha Trang";24.7;26.0;27.1;28.8;29.1;28.8;28.5;28.5;27.7;26.9;26.3;24.4
" ";"Vũng Tàu";26.2;27.1;28.2;29.7;30.0;28.7;28.1;28.1;27.9;27.8;27.6;26.3
" ";"Cà Mau";26.5;27.5;28.5;29.3;29.3;28.2;27.3;27.6;27.7;27.5;27.6;26.1
"2012"
" ";"Lai Châu";13.2;16.1;18.3;22.6;24.0;23.6;23.0;23.8;21.9;21.2;19.2;15.8
" ";"Sơn La";14.2;16.7;20.1;24.3;26.1;25.9;25.4;25.2;23.6;22.8;20.6;17.4
" ";"Tuyên Quang";14.8;15.9;20.5;26.3;28.8;29.4;28.9;28.6;26.7;25.6;22.3;17.9
" ";"Hà Nội";14.6;16.1;20.2;26.2;28.9;30.3;29.6;29.3;27.9;26.8;23.4;18.7
" ";"Bãi Cháy";14.4;15.5;19.2;24.7;28.4;29.1;28.6;28.3;27.1;25.6;22.7;18.8
" ";"Nam Định";14.4;16.0;19.7;25.4;28.5;30.0;29.7;28.7;27.1;26.1;23.1;18.9
" ";"Vinh";16.4;17.0;20.3;26.2;29.5;30.6;30.5;29.5;27.1;26.1;24.2;20.5
" ";"Huế";19.3;20.0;22.5;26.2;28.4;29.2;28.9;29.0;26.5;25.4;25.0;22.7
" ";"Đà Nẵng";21.4;22.2;24.3;27.0;29.3;30.6;29.5;29.7;27.4;26.3;26.0;24.5
" ";"Qui Nhơn";23.7;24.5;26.2;27.9;29.7;31.2;30.0;30.6;28.3;27.4;27.1;25.9
" ";"Pleiku";20.2;21.4;22.8;23.9;24.2;23.0;22.7;22.5;22.8;22.4;23.0;21.6
" ";"Đà Lạt";16.9;17.4;18.0;19.3;19.7;19.3;19.0;19.3;18.6;18.5;18.5;17.3
" ";"Nha Trang";24.4;25.0;26.5;27.7;28.8;29.8;29.3;29.6;27.8;27.2;27.1;26.4
" ";"Vũng Tàu";26.2;26.7;28.3;28.7;29.1;28.5;27.9;28.6;27.2;28.0;28.3;27.9
" ";"Cà Mau";26.6;27.2;28.1;29.0;28.2;28.4;27.5;27.8;26.6;27.8;27.8;27.8
"2011"
" ";"Lai Châu";15.9;..;20.1;24.8;26.1;27.2;27.4;27.4;27.1;24.9;21.1;18.1
" ";"Sơn La";11.7;16.7;16.4;22.1;24.1;25.5;25.5;25.1;24.5;21.7;18.7;14.7
" ";"Tuyên Quang";12.5;17.6;17.0;23.4;26.4;29.0;29.1;28.4;27.0;23.9;22.2;16.5
" ";"Hà Nội";12.8;17.7;17.1;23.8;27.2;29.5;29.9;28.9;27.5;24.5;23.9;17.4
" ";"Bãi Cháy";12.8;16.4;16.3;22.5;26.0;28.9;28.9;28.1;27.1;24.0;23.2;17.0
" ";"Nam Định";12.5;17.2;16.5;23.1;26.6;29.6;29.6;28.9;27.1;23.9;23.3;17.0
" ";"Vinh";14.2;17.7;16.9;23.0;27.4;30.5;29.7;28.6;27.2;23.9;23.3;17.1
" ";"Huế";17.0;19.4;18.9;23.9;27.1;28.7;29.0;28.4;26.7;24.6;23.6;18.6
" ";"Đà Nẵng";20.0;21.5;21.5;24.9;28.1;29.3;29.7;29.2;26.9;25.6;24.6;20.8
" ";"Qui Nhơn";22.8;23.8;23.8;26.3;28.9;30.5;30.4;30.2;29.2;27.0;26.2;23.6
" ";"Pleiku";18.5;20.1;21.2;23.1;23.8;22.5;22.3;22.5;21.8;21.8;21.5;19.7
" ";"Đà Lạt";15.9;16.5;17.4;18.6;19.9;19.3;18.9;19.1;18.7;18.5;18.2;16.4
" ";"Nha Trang";24.0;24.6;25.0;26.5;28.5;28.8;28.1;28.6;28.7;26.9;26.4;24.4
" ";"Vũng Tàu";25.8;26.0;27.3;27.7;29.0;28.3;27.8;28.2;27.8;27.8;27.7;26.3
" ";"Cà Mau";26.3;26.4;27.4;28.0;28.7;28.0;27.7;27.9;27.2;28.1;27.5;26.4
"2010"
" ";"Lai Châu";19.2;20.1;23.1;25.7;27.8;27.3;27.2;27.2;26.5;24.4;20.5;19.2
" ";"Sơn La";17.4;18.6;20.6;23.6;26.3;26.1;26.1;24.9;24.8;21.7;18.4;16.9
" ";"Tuyên Quang";15.2;22.3;21.0;24.7;26.8;29.0;28.7;29.0;28.1;25.9;20.7;19.4
" ";"Hà Nội";18.1;20.9;21.9;23.5;28.7;30.9;30.7;28.6;28.7;25.7;22.1;19.4
" ";"Bãi Cháy";17.3;19.2;20.6;22.6;27.3;29.4;29.9;27.7;27.8;25.1;21.7;19.1
" ";"Nam Định";17.7;20.4;21.5;23.1;28.3;30.5;30.4;28.1;28.2;24.9;22.0;19.6
" ";"Vinh";18.9;21.5;22.5;24.2;29.9;31.7;30.9;28.1;28.7;24.4;22.2;20.3
" ";"Huế";21.1;23.2;23.7;26.1;29.3;29.4;28.8;27.4;27.4;24.8;22.6;21.3
" ";"Đà Nẵng";23.1;24.4;24.6;26.9;29.4;29.7;29.1;28.1;27.7;25.9;23.7;22.5
" ";"Qui Nhơn";24.5;25.7;26.2;28.3;29.9;30.2;29.6;29.4;29.1;26.9;24.6;24.5
" ";"Pleiku";17.8;21.4;23.3;23.8;23.3;23.3;22.4;22.8;22.3;22.1;21.3;19.9
" ";"Đà Lạt";14.8;17.2;18.3;19.4;19.3;19.5;18.9;19.1;18.5;18.3;17.8;16.7
" ";"Nha Trang";24.8;26.1;26.6;28.4;29.9;29.9;28.9;28.6;28.3;26.7;25.2;24.8
" ";"Vũng Tàu";25.4;26.7;28.7;29.3;28.2;28.8;27.7;28.7;27.8;27.4;27.5;26.5
" ";"Cà Mau";25.1;26.7;28.6;28.9;28.2;28.8;27.2;28.1;27.0;27.5;27.4;26.7
"2009"
" ";"Lai Châu";16.6;21.5;23.5;25.2;26.4;27.0;27.5;27.2;26.7;25.3;20.4;18.4
" ";"Sơn La";13.5;21.0;21.3;23.0;24.9;25.6;25.5;25.6;25.0;23.3;18.0;16.2
" ";"Tuyên Quang";15.2;22.4;21.0;24.7;26.8;29.0;28.7;29.0;28.1;25.9;20.7;19.4
" ";"Hà Nội";16.0;22.5;21.0;24.7;27.1;30.3;29.6;29.9;29.1;26.8;21.9;19.9
" ";"Bãi Cháy";15.4;21.4;20.5;23.5;26.3;29.2;29.0;29.2;28.2;25.9;20.9;18.8
" ";"Nam Định";15.7;21.9;20.6;23.9;26.8;29.9;29.5;29.4;28.2;26.3;21.4;19.7
" ";"Vinh";16.5;22.7;22.0;25.0;27.2;31.5;30.2;29.0;28.2;26.1;21.8;20.1
" ";"Huế";18.5;23.1;24.3;25.5;26.7;29.2;28.5;28.3;26.9;25.6;22.6;21.2
" ";"Đà Nẵng";20.6;23.7;25.5;26.9;27.6;30.6;29.3;29.2;27.5;26.7;24.4;23.2
" ";"Qui Nhơn";22.5;24.9;26.7;27.9;27.8;30.9;30.2;30.0;28.4;27.2;25.4;24.8
" ";"Pleiku";17.8;21.4;23.3;23.8;23.3;23.3;22.4;22.9;22.3;22.1;21.4;19.9
" ";"Đà Lạt";14.8;17.3;18.3;19.4;19.3;19.5;18.9;19.1;18.5;18.3;17.8;16.7
" ";"Nha Trang";23.5;25.4;27.0;27.5;27.3;29.1;28.9;29.2;28.2;27.2;26.2;25.0
" ";"Vũng Tàu";25.4;26.7;28.7;29.3;28.2;28.9;27.7;28.7;27.8;27.5;27.6;26.5
" ";"Cà Mau";25.1;26.7;28.6;28.9;28.3;28.8;27.2;28.1;27.0;27.5;27.4;26.7
"2008"
" ";"Lai Châu";18.3;15.0;21.8;25.7;26.1;26.0;26.6;26.7;26.8;25.2;20.2;17.5
" ";"Sơn La";15.0;11.0;20.2;23.9;24.5;24.6;24.6;25.1;24.5;22.3;17.5;14.6
" ";"Tuyên Quang";15.1;13.7;21.3;24.7;27.0;28.3;28.7;28.6;27.9;25.9;20.4;17.2
" ";"Hà Nội";15.2;13.8;21.4;24.7;27.6;28.6;29.4;29.0;28.3;26.5;21.4;18.4
" ";"Bãi Cháy";15.1;13.1;20.0;24.1;26.9;27.6;28.6;27.8;27.7;26.6;21.5;18.1
" ";"Nam Định";15.1;13.4;20.5;24.4;27.1;28.4;29.4;28.8;27.5;26.0;21.3;18.0
" ";"Vinh";17.3;13.8;20.8;25.2;27.8;30.2;30.5;29.7;27.9;25.7;22.1;18.7
" ";"Huế";19.6;15.8;21.8;25.9;26.7;28.6;28.9;28.2;27.0;25.5;22.7;19.8
" ";"Đà Nẵng";21.6;19.4;23.3;27.0;27.7;29.4;29.5;28.6;27.8;26.3;24.4;21.5
" ";"Qui Nhơn";23.2;22.0;24.9;28.3;29.0;29.9;30.1;29.3;28.4;27.2;25.6;24.0
" ";"Pleiku";19.8;19.2;21.7;24.2;23.0;23.4;22.8;22.4;22.4;22.4;21.1;19.1
" ";"Đà Lạt";16.4;16.1;17.6;18.9;19.1;19.4;19.1;18.5;18.6;18.7;17.5;16.3
" ";"Nha Trang";24.0;23.8;24.9;27.6;27.8;28.6;28.4;28.2;28.1;27.5;25.8;24.6
" ";"Vũng Tàu";26.5;26.3;26.9;29.1;28.3;28.7;28.3;27.9;27.8;28.4;27.3;26.8
" ";"Cà Mau";26.2;26.5;27.3;28.7;27.9;27.7;27.4;27.4;27.0;27.2;26.7;26.2
"2007"
" ";"Lai Châu";17.4;19.2;22.8;24.0;25.6;27.0;26.3;26.9;25.6;24.4;19.6;19.7
" ";"Sơn La";14.8;19.6;21.9;22.1;24.1;25.8;25.1;24.9;23.6;21.5;16.7;17.4
" ";"Tuyên Quang";16.1;22.2;21.5;23.1;26.6;29.7;29.4;28.4;26.6;25.0;19.8;19.6
" ";"Hà Nội";16.9;21.9;21.1;23.4;27.3;30.2;30.4;29.2;27.2;25.8;21.4;20.4
" ";"Bãi Cháy";16.2;20.1;20.5;22.4;26.4;29.2;29.3;28.5;26.8;25.4;20.5;20.0
" ";"Nam Định";16.5;21.3;20.9;23.1;26.6;30.2;30.4;28.7;26.9;25.3;20.7;20.3
" ";"Vinh";17.2;22.1;22.5;24.0;27.2;31.2;31.1;29.2;27.4;25.0;20.7;21.1
" ";"Huế";19.3;22.8;24.7;25.0;26.8;29.2;29.2;28.0;26.7;24.7;21.6;22.3
" ";"Đà Nẵng";21.3;23.7;25.4;26.4;28.1;29.8;29.4;28.8;27.8;26.0;23.2;23.9
" ";"Qui Nhơn";23.5;24.5;26.4;27.1;28.9;29.7;29.7;29.3;28.9;27.1;24.5;24.8
" ";"Pleiku";19.5;21.1;23.3;24.2;23.8;24.0;22.6;22.2;22.9;21.7;19.9;19.8
" ";"Đà Lạt";16.3;16.7;18.0;19.0;19.5;19.4;18.8;18.3;18.9;18.0;16.7;16.8
" ";"Nha Trang";24.6;24.6;26.2;27.4;27.9;28.7;28.6;28.0;27.9;26.7;24.9;25.3
" ";"Vũng Tàu";26.4;26.1;28.0;29.2;28.7;29.0;28.2;27.8;28.0;27.9;27.0;26.7
" ";"Cà Mau";26.1;26.4;27.9;29.2;28.4;28.3;27.3;27.4;27.5;27.1;26.6;26.9
"2006"
" ";"Lai Châu";17.8;21.8;22.8;25.4;25.3;25.8;26.2;25.9;25.3;24.7;20.9;17.9
" ";"Sơn La";15.4;18.4;20.4;23.9;24.1;25.8;25.4;24.7;23.7;23.1;20.5;15.9
" ";"Tuyên Quang";17.9;18.5;20.3;25.6;26.7;29.2;29.2;27.4;27.0;26.3;23.3;17.1
" ";"Hà Nội";18.3;18.4;20.3;25.4;27.3;30.2;30.0;28.1;28.2;27.4;24.7;18.3
" ";"Bãi Cháy";17.0;18.2;19.0;24.2;26.5;28.8;28.9;27.3;27.2;26.5;23.9;18.8
" ";"Nam Định";18.0;18.3;19.7;24.9;27.4;29.8;29.8;27.8;27.7;26.8;24.6;18.0
" ";"Vinh";18.3;19.3;20.5;26.0;28.2;31.0;30.3;28.2;27.3;26.2;26.2;19.3
" ";"Huế";19.9;21.6;22.7;26.5;27.3;30.1;29.8;27.8;26.5;26.1;25.1;21.6
" ";"Đà Nẵng";21.6;23.3;24.0;26.9;27.6;30.2;30.1;28.3;27.3;26.7;26.2;23.4
" ";"Qui Nhơn";23.1;24.7;25.4;28.1;29.3;30.4;30.3;30.0;28.2;27.5;26.8;24.9
" ";"Pleiku";20.1;21.2;22.9;24.2;24.1;24.1;22.1;22.1;22.7;22.1;21.9;20.1
" ";"Đà Lạt";16.8;17.4;18.3;18.9;19.6;19.3;18.7;18.5;18.8;18.2;18.1;16.7
" ";"Nha Trang";24.2;25.2;26.1;28.1;29.4;29.3;29.0;28.8;27.9;27.0;26.4;25.2
" ";"Vũng Tàu";26.3;27.0;27.7;29.5;29.1;28.7;28.1;27.8;28.0;27.8;28.3;27.3
" ";"Cà Mau";26.2;27.3;27.9;29.0;28.4;27.9;27.4;27.2;27.1;27.5;28.0;26.8
"2005"
" ";"Lai Châu";17.2;20.2;20.7;24.6;27.0;26.3;27.4;26.8;26.4;24.7;21.2;17.3
" ";"Sơn La";15.4;19.7;19.1;23.1;26.2;25.7;25.5;24.4;24.3;21.9;19.5;14.4
" ";"Tuyên Quang";15.8;17.9;18.9;24.2;29.1;29.4;28.8;28.0;27.8;25.0;21.9;16.4
" ";"Hà Nội";16.2;17.8;19.2;24.2;29.2;30.3;29.6;28.8;28.7;26.3;22.7;17.4
" ";"Bãi Cháy";15.8;17.3;18.3;23.4;28.1;29.0;28.5;27.8;27.8;25.5;22.2;16.7
" ";"Nam Định";16.2;17.8;18.8;23.7;29.0;30.3;29.6;28.5;28.0;25.8;22.4;16.8
" ";"Vinh";18.0;19.2;19.2;24.6;30.4;31.3;29.7;28.9;27.3;25.2;22.9;17.5
" ";"Huế";19.9;22.4;21.3;25.4;28.9;29.6;27.9;28.3;27.3;25.2;23.9;19.2
" ";"Đà Nẵng";21.5;23.9;22.8;25.8;28.9;30.5;28.4;28.7;27.9;26.3;25.2;21.2
" ";"Qui Nhơn";22.9;25.2;24.7;27.2;29.0;31.0;30.1;30.0;28.5;26.8;26.1;23.2
" ";"Pleiku";18.9;22.1;22.3;24.3;24.9;23.8;22.5;22.2;22.8;22.4;21.7;20.2
" ";"Đà Lạt";15.4;17.5;17.5;18.9;19.8;19.6;18.5;18.3;18.6;18.4;17.9;16.8
" ";"Nha Trang";23.4;25.2;25.2;27.3;28.9;29.7;29.1;29.5;28.1;27.3;26.6;24.2
" ";"Vũng Tàu";25.0;26.4;26.9;28.6;29.6;28.9;27.7;28.2;27.8;28.2;27.8;26.2
" ";"Cà Mau";25.8;27.0;27.7;29.2;29.0;28.6;27.2;28.1;27.8;27.6;27.4;25.8
"2004"
" ";"Lai Châu";16.8;18.3;22.2;24.1;25.7;26.7;26.2;26.5;25.4;23.3;20.4;16.7
" ";"Sơn La";15.7;17.2;20.5;22.8;23.9;24.9;24.9;25.4;23.9;21.4;18.9;15.0
" ";"Tuyên Quang";16.8;17.8;20.6;23.2;26.3;28.6;28.2;28.6;27.4;24.6;22.2;17.4
" ";"Hà Nội";17.2;18.1;20.7;24.2;26.6;29.8;29.2;29.1;28.3;26.1;23.1;19.3
" ";"Bãi Cháy";16.7;16.7;19.5;23.2;25.5;28.6;27.9;27.9;27.3;24.6;22.0;18.4
" ";"Nam Định";17.1;17.6;20.3;24.1;26.3;29.2;28.8;28.6;27.5;25.2;22.3;18.7
" ";"Vinh";18.3;18.3;20.7;24.2;27.3;29.4;29.6;29.1;27.1;24.6;22.4;19.7
" ";"Huế";20.3;19.8;23.0;25.4;28.1;28.7;28.0;28.5;26.4;23.9;22.8;20.3
" ";"Đà Nẵng";21.9;21.2;24.1;26.5;28.4;29.2;28.3;28.9;27.3;25.0;24.3;21.8
" ";"Qui Nhơn";23.6;23.4;25.8;28.5;29.8;30.0;29.7;30.7;28.4;26.4;25.8;23.6
" ";"Pleiku";19.1;19.9;22.9;24.5;24.3;22.5;22.8;22.3;22.2;21.3;21.3;18.9
" ";"Đà Lạt";16.1;16.6;18.2;19.1;18.9;18.6;18.5;18.2;18.7;17.7;17.6;15.7
" ";"Nha Trang";24.2;23.9;25.9;28.1;28.6;28.9;28.4;29.3;28.3;25.6;26.4;24.4
" ";"Vũng Tàu";25.9;25.6;27.0;29.2;29.3;28.2;28.1;27.6;28.0;27.5;27.6;26.0
" ";"Cà Mau";26.5;26.2;27.9;29.5;28.9;27.8;27.3;27.3;27.7;27.3;27.9;26.4
"2003"
" ";"Lai Châu";17.5;19.8;21.3;24.6;25.6;25.7;25.8;26.4;25.8;24.3;20.4;17.1
" ";"Sơn La";14.4;18.8;19.9;24.6;25.2;25.5;25.6;25.6;24.2;22.7;19.8;16.0
" ";"Tuyên Quang";15.9;20.8;21.6;26.1;28.4;28.7;28.2;28.6;26.8;25.5;22.8;17.5
" ";"Hà Nội";16.9;20.8;21.9;26.2;29.0;30.0;29.8;29.1;27.8;26.6;23.9;18.5
" ";"Bãi Cháy";15.9;19.9;20.9;25.2;27.8;28.8;29.2;28.2;27.1;24.5;22.2;18.2
" ";"Nam Định";16.6;20.4;21.5;25.8;28.6;29.9;30.3;28.8;27.5;26.0;23.3;18.0
" ";"Vinh";17.0;21.1;21.7;26.6;29.3;30.7;30.2;29.3;26.4;25.5;23.1;18.7
" ";"Huế";19.1;22.2;23.0;27.0;28.6;29.1;28.8;29.0;27.0;25.0;23.6;20.2
" ";"Đà Nẵng";20.8;23.6;24.5;27.0;28.5;29.6;28.8;29.0;27.1;25.9;24.5;21.5
" ";"Qui Nhơn";23.1;25.2;26.3;28.5;29.8;30.3;29.8;30.3;29.3;26.7;26.3;23.5
" ";"Pleiku";18.5;20.9;22.8;24.7;23.6;23.4;22.9;22.5;22.3;21.6;20.8;18.6
" ";"Đà Lạt";15.7;16.8;18.0;19.5;19.3;19.2;18.8;18.8;18.5;17.9;17.6;15.4
" ";"Nha Trang";23.8;25.0;26.4;27.7;28.4;29.1;28.6;29.2;28.2;26.8;26.3;24.2
" ";"Vũng Tàu";25.6;26.5;27.6;29.3;28.6;28.9;27.6;27.9;27.5;27.3;27.5;26.0
" ";"Cà Mau";26.3;27.1;28.3;29.7;28.6;28.5;27.2;28.0;27.3;27.0;27.7;26.1
"2002"
" ";"Lai Châu";16.7;19.5;23.6;25.6;26.0;26.7;25.5;24.9;24.5;21.6;20.1;17.9
" ";"Sơn La";14.5;18.1;21.2;24.3;23.6;26.0;24.6;24.3;23.8;21.6;17.9;16.1
" ";"Tuyên Quang";16.3;19.2;22.0;25.6;26.8;28.5;28.5;27.5;26.7;24.1;20.7;18.6
" ";"Hà Nội";17.7;19.5;22.5;25.9;27.7;29.6;29.4;28.4;27.6;25.2;21.2;18.9
" ";"Bãi Cháy";16.7;18.6;21.5;25.2;27.0;28.6;28.4;27.8;26.8;24.8;20.6;18.8
" ";"Nam Định";17.3;18.0;21.9;25.2;27.3;29.4;29.3;28.0;27.0;25.0;20.8;18.8
